date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2026-06-11,Mexico,South Africa,2,0,FIFA World Cup,Mexico City,Mexico,False
2026-06-11,South Korea,Czech Republic,2,1,FIFA World Cup,Zapopan,Mexico,True
2026-06-12,Canada,Bosnia and Herzegovina,1,1,FIFA World Cup,Toronto,Canada,False
2026-06-12,United States,Paraguay,4,1,FIFA World Cup,Inglewood,United States,False
2026-06-13,Qatar,Switzerland,1,1,FIFA World Cup,Santa Clara,United States,True
2026-06-13,Brazil,Morocco,1,1,FIFA World Cup,East Rutherford,United States,True
2026-06-13,Haiti,Scotland,0,1,FIFA World Cup,Foxborough,United States,True
2026-06-13,Australia,Turkey,2,0,FIFA World Cup,Vancouver,Canada,True
2026-06-14,Germany,Curacao,7,1,FIFA World Cup,Houston,United States,True
2026-06-14,Ivory Coast,Ecuador,1,0,FIFA World Cup,Philadelphia,United States,True
2026-06-14,Netherlands,Japan,2,2,FIFA World Cup,Arlington,United States,True
2026-06-14,Sweden,Tunisia,5,1,FIFA World Cup,Guadalupe,Mexico,True
2026-06-15,Belgium,Egypt,1,1,FIFA World Cup,Seattle,United States,True
2026-06-15,Iran,New Zealand,2,2,FIFA World Cup,Inglewood,United States,True
2026-06-15,Spain,Cape Verde,0,0,FIFA World Cup,Atlanta,United States,True
2026-06-15,Saudi Arabia,Uruguay,1,1,FIFA World Cup,Miami Gardens,United States,True
2026-06-16,France,Senegal,3,1,FIFA World Cup,East Rutherford,United States,True
2026-06-16,Iraq,Norway,1,4,FIFA World Cup,Foxborough,United States,True
2026-06-16,Argentina,Algeria,3,0,FIFA World Cup,Kansas City,United States,True
2026-06-16,Austria,Jordan,3,1,FIFA World Cup,Santa Clara,United States,True
2026-06-17,Portugal,DR Congo,1,1,FIFA World Cup,Houston,United States,True
2026-06-17,Uzbekistan,Colombia,1,3,FIFA World Cup,Mexico City,Mexico,True
2026-06-17,England,Croatia,4,2,FIFA World Cup,Arlington,United States,True
2026-06-17,Ghana,Panama,1,0,FIFA World Cup,Toronto,Canada,True
2026-06-18,Czech Republic,South Africa,1,1,FIFA World Cup,Atlanta,United States,True
2026-06-18,Mexico,South Korea,1,0,FIFA World Cup,Zapopan,Mexico,False
2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,FIFA World Cup,Inglewood,United States,True
2026-06-18,Canada,Qatar,6,0,FIFA World Cup,Vancouver,Canada,False
2026-06-19,Scotland,Morocco,0,1,FIFA World Cup,Foxborough,United States,True
2026-06-19,Brazil,Haiti,3,0,FIFA World Cup,Philadelphia,United States,True
2026-06-19,United States,Australia,2,0,FIFA World Cup,Seattle,United States,False
2026-06-19,Turkey,Paraguay,0,1,FIFA World Cup,Santa Clara,United States,True
